"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"217","Big Sur 2024","Big Sur",2024-08-20 06:00:00,2024-08-20,06:00:00,15.18,"2024",2043
"218","Big Sur 2024","Big Sur",2024-08-20 06:05:00,2024-08-20,06:05:00,15.14,"2024",2043
"219","Big Sur 2024","Big Sur",2024-08-20 06:10:00,2024-08-20,06:10:00,15.14,"2024",2043
"220","Big Sur 2024","Big Sur",2024-08-20 06:15:00,2024-08-20,06:15:00,15.14,"2024",2043
"221","Big Sur 2024","Big Sur",2024-08-20 06:20:00,2024-08-20,06:20:00,15.14,"2024",2043
"222","Big Sur 2024","Big Sur",2024-08-20 06:25:00,2024-08-20,06:25:00,15.14,"2024",2043
"223","Big Sur 2024","Big Sur",2024-08-20 06:30:00,2024-08-20,06:30:00,15.1,"2024",2043
"224","Big Sur 2024","Big Sur",2024-08-20 06:35:00,2024-08-20,06:35:00,15.14,"2024",2043
"225","Big Sur 2024","Big Sur",2024-08-20 06:40:00,2024-08-20,06:40:00,15.14,"2024",2043
"226","Big Sur 2024","Big Sur",2024-08-20 06:45:00,2024-08-20,06:45:00,15.1,"2024",2043
"227","Big Sur 2024","Big Sur",2024-08-20 06:50:00,2024-08-20,06:50:00,15.1,"2024",2043
"228","Big Sur 2024","Big Sur",2024-08-20 06:55:00,2024-08-20,06:55:00,15.06,"2024",2043
"229","Big Sur 2024","Big Sur",2024-08-20 07:00:00,2024-08-20,07:00:00,15.1,"2024",2043
"230","Big Sur 2024","Big Sur",2024-08-20 07:05:00,2024-08-20,07:05:00,15.1,"2024",2043
"231","Big Sur 2024","Big Sur",2024-08-20 07:10:00,2024-08-20,07:10:00,15.06,"2024",2043
"232","Big Sur 2024","Big Sur",2024-08-20 07:15:00,2024-08-20,07:15:00,15.1,"2024",2043
"233","Big Sur 2024","Big Sur",2024-08-20 07:20:00,2024-08-20,07:20:00,15.06,"2024",2043
"234","Big Sur 2024","Big Sur",2024-08-20 07:25:00,2024-08-20,07:25:00,15.1,"2024",2043
"235","Big Sur 2024","Big Sur",2024-08-20 07:30:00,2024-08-20,07:30:00,15.1,"2024",2043
"236","Big Sur 2024","Big Sur",2024-08-20 07:35:00,2024-08-20,07:35:00,15.1,"2024",2043
"237","Big Sur 2024","Big Sur",2024-08-20 07:40:00,2024-08-20,07:40:00,15.06,"2024",2043
"238","Big Sur 2024","Big Sur",2024-08-20 07:45:00,2024-08-20,07:45:00,15.1,"2024",2043
"239","Big Sur 2024","Big Sur",2024-08-20 07:50:00,2024-08-20,07:50:00,15.06,"2024",2043
"240","Big Sur 2024","Big Sur",2024-08-20 07:55:00,2024-08-20,07:55:00,15.06,"2024",2043
"241","Big Sur 2024","Big Sur",2024-08-20 08:00:00,2024-08-20,08:00:00,15.01,"2024",2043
"242","Big Sur 2024","Big Sur",2024-08-20 08:05:00,2024-08-20,08:05:00,15.06,"2024",2043
"243","Big Sur 2024","Big Sur",2024-08-20 08:10:00,2024-08-20,08:10:00,15.06,"2024",2043
"244","Big Sur 2024","Big Sur",2024-08-20 08:15:00,2024-08-20,08:15:00,15.1,"2024",2043
"245","Big Sur 2024","Big Sur",2024-08-20 08:20:00,2024-08-20,08:20:00,14.97,"2024",2043
"246","Big Sur 2024","Big Sur",2024-08-20 08:25:00,2024-08-20,08:25:00,15.06,"2024",2043
"247","Big Sur 2024","Big Sur",2024-08-20 08:30:00,2024-08-20,08:30:00,15.01,"2024",2043
"248","Big Sur 2024","Big Sur",2024-08-20 08:35:00,2024-08-20,08:35:00,15.06,"2024",2043
"249","Big Sur 2024","Big Sur",2024-08-20 08:40:00,2024-08-20,08:40:00,15.06,"2024",2043
"250","Big Sur 2024","Big Sur",2024-08-20 08:45:00,2024-08-20,08:45:00,15.01,"2024",2043
